,发现时间,发现数量,观测方法,行星质量,距地距离,轨道周期
531,2010,1 ,凌日,,,2.7187 
532,2010,1 ,凌日,,116.14,1.2199 
533,2010,1 ,凌日,,120,4.3177 
534,2010,1 ,凌日,,343,3.5775 
535,2010,1 ,凌日,,110,6.8718 
536,2010,1 ,凌日,,180,3.0524 
537,2010,1 ,天体测量学,,14.98,1016.0000 
538,2010,1 ,微引力透镜,,,
539,2010,1 ,微引力透镜,,,1970.0000 
540,2011,6 ,径向速度,0.018,6.8,7.2004 
541,2011,6 ,径向速度,0.012,6.8,28.1400 
542,2011,5 ,径向速度,,12.53,0.7365 
543,2011,5 ,凌日,,290,3.6961 
544,2011,5 ,凌日,,290,10.8541 
545,2011,5 ,凌日,,290,77.6118 
546,2011,5 ,凌日,,290,6.0985 
547,2011,5 ,凌日,,290,19.5771 
548,2011,5 ,凌日,,303,5.9012 
549,2011,5 ,凌日,,303,8.7522 
550,2011,5 ,凌日,,,5.6679 
551,2011,5 ,凌日,,,13.1756 
552,2011,5 ,凌日,,,21.7760 
553,2011,5 ,凌日,,,31.7844 
554,2011,5 ,凌日,,,41.0290 
555,2011,3 ,径向速度,0.0085,6.06,18.3150 
556,2011,3 ,径向速度,0.00755,6.06,40.1140 
557,2011,3 ,径向速度,0.0151,6.06,90.3090 
558,2011,3 ,径向速度,0.0363,38.01,16.5460 
559,2011,3 ,径向速度,0.0498,38.01,51.2840 
560,2011,3 ,径向速度,0.0519,38.01,274.4900 
561,2011,3 ,径向速度,0.0117,25.59,5.6363 
562,2011,3 ,径向速度,0.0187,25.59,14.0250 
563,2011,3 ,径向速度,0.0162,25.59,33.9410 
564,2011,3 ,径向速度,0.0292,26.91,12.0830 
565,2011,3 ,径向速度,0.0382,26.91,59.5190 
566,2011,3 ,径向速度,0.121,26.91,459.2600 
567,2011,3 ,径向速度,0.0166,14.56,11.5770 
568,2011,3 ,径向速度,0.0358,14.56,27.5820 
569,2011,3 ,径向速度,0.03,14.56,106.7200 
570,2011,3 ,径向速度,0.054,47.3,34.8730 
571,2011,3 ,径向速度,0.036,25.87,8.1352 
572,2011,3 ,径向速度,0.41,25.87,32.0300 
573,2011,3 ,径向速度,0.527,25.87,431.7000 
574,2011,3 ,凌日,,,3.5047 
575,2011,3 ,凌日,,,7.6416 
576,2011,3 ,凌日,,,14.8589 
577,2011,3 ,凌日,,,6.2385 
578,2011,3 ,凌日,,,12.7204 
579,2011,3 ,凌日,,38.7,1.2138 
580,2011,3 ,凌日,,38.7,0.4533 
581,2011,3 ,凌日,,38.7,1.8652 
582,2011,2 ,轨道亮度调制,,1180,0.2401 
583,2011,2 ,轨道亮度调制,,1180,0.3429 
584,2011,2 ,径向速度,1.6,15.1,7100.0000 
585,2011,2 ,径向速度,3.4,354,1022.0000 
586,2011,2 ,径向速度,0.0186,23.44,13.5050 
587,2011,2 ,径向速度,1.11,38.52,1275.0000 
588,2011,2 ,径向速度,2,38.52,4046.0000 
589,2011,2 ,径向速度,0.0325,28.6,14.1820 
590,2011,2 ,径向速度,0.036,28.6,53.8320 
591,2011,2 ,径向速度,0.0378,43.08,11.8490 
592,2011,2 ,径向速度,0.0422,43.08,33.8230 
593,2011,2 ,径向速度,0.0379,35.89,29.1500 
594,2011,2 ,径向速度,0.0496,35.89,85.1310 
595,2011,2 ,径向速度,0.0322,32.31,22.6560 
596,2011,2 ,径向速度,0.06472,32.31,53.8810 
597,2011,2 ,径向速度,0.0413,34.07,14.0700 
598,2011,2 ,径向速度,0.0565,34.07,95.4150 
599,2011,2 ,径向速度,0.17,35.59,152.6000 
600,2011,2 ,径向速度,0.0263,42.52,13.1860 
601,2011,2 ,径向速度,0.0318,42.52,46.0250 
602,2011,2 ,径向速度,0.0284,26.21,8.1256 
603,2011,2 ,径向速度,0.04,26.21,103.4900 
604,2011,2 ,径向速度,,28.04,1046.0000 
605,2011,2 ,径向速度,0.0351,24.15,3.2700 
606,2011,2 ,径向速度,0.1507,24.15,1160.9000 
607,2011,2 ,径向速度,0.05318,8.82,74.7200 
608,2011,2 ,径向速度,0.07552,8.82,525.8000 
609,2011,2 ,径向速度,0.0087,21.52,7.2825 
610,2011,2 ,径向速度,0.0097,21.52,10.8660 
611,2011,2 ,径向速度,0.101,38.64,191.9900 
612,2011,2 ,径向速度,0.246,38.64,2277.0000 
613,2011,2 ,径向速度,,44.8,9017.8000 
614,2011,2 ,凌日,,354,5.0054 
615,2011,2 ,凌日,,173,0.8375 
616,2011,2 ,凌日,,173,45.2949 
617,2011,2 ,凌日,,2119,9.2870 
618,2011,2 ,凌日,,800,7.1073 
619,2011,2 ,凌日,,800,10.7421 
620,2011,2 ,凌日,,1200,8.1453 
621,2011,2 ,凌日,,1200,12.3335 
622,2011,2 ,凌日,,,12.2829 
623,2011,2 ,凌日,,,17.2513 
624,2011,2 ,凌日,,,15.3348 
625,2011,2 ,凌日,,,31.3309 
626,2011,2 ,凌日,,,5.9123 
627,2011,2 ,凌日,,,8.9858 
628,2011,2 ,凌日,,1400,10.3376 
629,2011,2 ,凌日,,1400,13.2907 
630,2011,2 ,凌日,,2100,20.8613 
631,2011,2 ,凌日,,2100,42.6318 
632,2011,2 ,凌日时间变化,,2119,160.0000 
633,2011,2 ,日食时间变化,,,5840.0000 
634,2011,2 ,日食时间变化,,,1916.2500 
635,2011,1 ,成像,,23.1,10037.5000 
636,2011,1 ,成像,,,40000.0000 
637,2011,1 ,成像,,19.2,
638,2011,1 ,径向速度,2.6,19.84,763.0000 
639,2011,1 ,径向速度,0.91,,392.6000 
640,2011,1 ,径向速度,0.018,9.04,7.3709 
641,2011,1 ,径向速度,3.1,167.5,431.8000 
642,2011,1 ,径向速度,7.6,150.6,177.1100 
643,2011,1 ,径向速度,0.29,35.88,615.0000 
644,2011,1 ,径向速度,2.7,127.88,772.0000 
645,2011,1 ,径向速度,13.65,31.79,528.0700 
646,2011,1 ,径向速度,1.7,168.92,387.1000 
647,2011,1 ,径向速度,1.8,121.07,912.0000 
648,2011,1 ,径向速度,1.3,136.8,326.6000 
649,2011,1 ,径向速度,0.0961,15.56,407.1500 
650,2011,1 ,径向速度,0.04,22.04,5.8872 
651,2011,1 ,径向速度,1.34,48.64,1966.1000 
652,2011,1 ,径向速度,1.3,112.23,705.0000 
653,2011,1 ,径向速度,0.01133,11.15,58.4300 
654,2011,1 ,径向速度,0.9,132.8,361.1000 
655,2011,1 ,径向速度,4,221.24,647.3000 
656,2011,1 ,径向速度,1.8,150.38,436.9000 
657,2011,1 ,径向速度,1.4,130.89,868.0000 
658,2011,1 ,径向速度,1.7,140.85,157.5700 
659,2011,1 ,径向速度,5.9,138.5,778.1000 
660,2011,1 ,径向速度,11,87.87,2890.0000 
661,2011,1 ,径向速度,2.6,138.5,443.4000 
662,2011,1 ,径向速度,2.1,110.62,670.0000 
663,2011,1 ,径向速度,0.224,38.05,948.1200 
664,2011,1 ,径向速度,2.2,121.36,883.0000 
665,2011,1 ,径向速度,1.49,98.52,1544.0000 
666,2011,1 ,径向速度,0.223,38.45,330.0000 
667,2011,1 ,径向速度,1.9,106.38,1299.0000 
668,2011,1 ,径向速度,0.168,29.55,1096.2000 
669,2011,1 ,径向速度,1.5,182.82,689.0000 
670,2011,1 ,径向速度,0.0193,18.08,18.5960 
671,2011,1 ,径向速度,9.71,35.37,131.0500 
672,2011,1 ,径向速度,0.12,33.48,104.8400 
673,2011,1 ,径向速度,1.8,114.15,521.0000 
674,2011,1 ,径向速度,0.0316,17.72,14.2750 
675,2011,1 ,径向速度,0.79,32.83,1035.7000 
676,2011,1 ,径向速度,0.266,26.95,1733.0000 
677,2011,1 ,径向速度,1.45,48.43,3724.7000 
678,2011,1 ,径向速度,1.9,50.45,3999.0000 
679,2011,1 ,径向速度,5.3,307.69,745.7000 
680,2011,1 ,凌日,,840,5.3523 
681,2011,1 ,凌日,,920,3.7681 
682,2011,1 ,凌日,,870,1.9001 
683,2011,1 ,凌日,,770,3.8971 
684,2011,1 ,凌日,,1230,9.2429 
685,2011,1 ,凌日,,600,3.6313 
686,2011,1 ,凌日,,204,3.0396 
687,2011,1 ,凌日,,395,3.2572 
688,2011,1 ,凌日,,322,5.7232 
689,2011,1 ,凌日,,193,2.8106 
690,2011,1 ,凌日,,283,2.1500 
691,2011,1 ,凌日,,387,3.4745 
692,2011,1 ,凌日,,257,5.4527 
693,2011,1 ,凌日,,535,3.6467 
694,2011,1 ,凌日,,317,1.3273 
695,2011,1 ,凌日,,411,2.7974 
696,2011,1 ,凌日,,600,4.4380 
697,2011,1 ,凌日,,,1.7636 
698,2011,1 ,凌日,,980,6.7901 
699,2011,1 ,凌日,,,4.9428 
700,2011,1 ,凌日,,61,228.7760 
701,2011,1 ,凌日,,800,1.4857 
702,2011,1 ,凌日,,108,2.7858 
703,2011,1 ,凌日,,190,289.8623 
704,2011,1 ,凌日,,1499,288.8220 
705,2011,1 ,凌日,,1645,131.4580 
706,2011,1 ,凌日,,1200,21.0874 
707,2011,1 ,凌日,,770,1.8556 
708,2011,1 ,凌日,,1950,3.0241 
709,2011,1 ,凌日,,2250,3.2467 
710,2011,1 ,凌日,,333,2.4552 
711,2011,1 ,凌日,,,1.3371 
712,2011,1 ,凌日,,360,1.4822 
713,2011,1 ,凌日,,,3.1616 
714,2011,1 ,凌日,,450,1.5374 
715,2011,1 ,凌日,,230,4.0553 
716,2011,1 ,凌日,,80,0.8135 
717,2011,1 ,凌日,,,2.4238 
718,2011,1 ,凌日,,,3.1261 
719,2011,1 ,凌日,,,1.4304 
720,2011,1 ,凌日,,,2.1436 
721,2011,1 ,凌日,,230,1.9551 
722,2011,1 ,脉冲星计时,,1200,0.0907 
723,2011,1 ,日食时间变化,,,2900.0000 
724,2011,1 ,微引力透镜,,,2780.0000 
725,2012,6 ,径向速度,0.011,12.83,34.6200 
726,2012,6 ,径向速度,0.0164,12.83,51.7600 
727,2012,6 ,径向速度,0.0223,12.83,197.8000 
728,2012,5 ,凌日,,303,22.7802 
729,2012,5 ,凌日,,303,2.8960 
730,2012,5 ,凌日,,303,0.7430 
731,2012,4 ,凌日,,,4.7780 
732,2012,4 ,凌日,,,9.6739 
733,2012,3 ,径向速度,0.014,16.13,3.6000 
734,2012,3 ,径向速度,0.036,16.13,35.3700 
735,2012,3 ,径向速度,1.68,47.3,2831.6000 
736,2012,3 ,径向速度,0.947,135,580.0000 
737,2012,3 ,凌日,,1400,29.3343 
738,2012,3 ,凌日,,1400,60.3231 
739,2012,3 ,凌日,,1400,143.3439 
740,2012,3 ,凌日,,,45.1540 
741,2012,3 ,凌日,,,85.3120 
742,2012,3 ,凌日,,,7.1316 
743,2012,3 ,凌日,,,8.9193 
744,2012,3 ,凌日,,,11.9016 
745,2012,3 ,凌日,,,2.1549 
746,2012,3 ,凌日,,,5.8599 
747,2012,3 ,凌日,,,8.1312 
748,2012,3 ,凌日,,135,5.3988 
749,2012,3 ,凌日,,135,9.6051 
750,2012,2 ,径向速度,,46.84,530.3200 
751,2012,2 ,径向速度,,46.84,3186.0000 
752,2012,2 ,径向速度,5.3,25.64,6005.0000 
753,2012,2 ,径向速度,2.37,56.5,360.2000 
754,2012,2 ,径向速度,2.37,56.5,2732.0000 
755,2012,2 ,径向速度,3.366,42.88,2720.0000 
756,2012,2 ,径向速度,0.73,52.72,352.3000 
757,2012,2 ,径向速度,,55.31,161.9700 
758,2012,2 ,径向速度,,55.31,1155.7000 
759,2012,2 ,凌日,,470,13.8399 
760,2012,2 ,凌日,,470,16.2386 
761,2012,2 ,凌日,,855,33.6013 
762,2012,2 ,凌日,,1500,49.5320 
763,2012,2 ,凌日,,1500,303.1370 
764,2012,2 ,凌日,,,7.2038 
765,2012,2 ,凌日,,,10.9129 
766,2012,2 ,凌日,,,7.8125 
767,2012,2 ,凌日,,,9.3765 
768,2012,2 ,凌日,,,7.8774 
769,2012,2 ,凌日,,,16.3850 
770,2012,2 ,凌日,,,18.6490 
771,2012,2 ,凌日,,,38.5583 
772,2012,2 ,凌日,,,8.0109 
773,2012,2 ,凌日,,,12.0717 
774,2012,2 ,凌日,,,27.9481 
775,2012,2 ,凌日,,,42.1516 
776,2012,2 ,凌日,,,10.5016 
777,2012,2 ,凌日,,,21.4024 
778,2012,2 ,凌日,,,5.7293 
779,2012,2 ,凌日,,,11.6093 
780,2012,2 ,凌日,,,10.2185 
781,2012,2 ,凌日,,,15.5742 
782,2012,2 ,凌日,,,11.8682 
783,2012,2 ,凌日,,,17.9801 
784,2012,2 ,凌日,,,13.4850 
785,2012,2 ,凌日,,,27.4020 
786,2012,2 ,凌日,,,7.0530 
787,2012,2 ,凌日,,,9.5220 
788,2012,2 ,凌日,,,5.9550 
789,2012,2 ,凌日,,,12.0400 
790,2012,2 ,凌日,,,26.4440 
791,2012,2 ,凌日,,,51.5380 
792,2012,2 ,凌日,,,9.7700 
793,2012,2 ,凌日,,,20.0900 
794,2012,2 ,凌日,,,8.7260 
795,2012,2 ,凌日,,,12.8830 
796,2012,2 ,凌日,,,8.3060 
797,2012,2 ,凌日,,,12.5130 
798,2012,2 ,凌日时间变化,,855,57.0110 
799,2012,2 ,微引力透镜,,4080,
800,2012,2 ,微引力透镜,,4080,
801,2012,1 ,成像,,52.03,
802,2012,1 ,成像,,10.1,
803,2012,1 ,径向速度,,81.5,691.9000 
804,2012,1 ,径向速度,0.0036,1.35,3.2357 
805,2012,1 ,径向速度,,70.42,417.9000 
806,2012,1 ,径向速度,,84.03,187.8300 
807,2012,1 ,径向速度,,56.31,1630.0000 
808,2012,1 ,径向速度,,,578.2000 
809,2012,1 ,径向速度,,25.2,3.3371 
810,2012,1 ,径向速度,,58.17,792.6000 
811,2012,1 ,径向速度,1.45,44.54,2208.0000 
812,2012,1 ,径向速度,6,80.06,480.5000 
813,2012,1 ,径向速度,,41.27,5.7361 
814,2012,1 ,径向速度,6.8,42.77,4951.0000 
815,2012,1 ,径向速度,9.61,36.36,3630.0000 
816,2012,1 ,径向速度,3.53,42.99,5144.0000 
817,2012,1 ,径向速度,6.9,43.57,3638.0000 
818,2012,1 ,径向速度,9.9,352.11,875.5000 
819,2012,1 ,径向速度,10.39,29.2,5501.0000 
820,2012,1 ,径向速度,,,2093.3000 
821,2012,1 ,径向速度,11.1,289.02,672.1000 
822,2012,1 ,径向速度,1.06,45.23,2209.0000 
823,2012,1 ,径向速度,,,4.4264 
824,2012,1 ,径向速度,,,2.1451 
825,2012,1 ,凌日,,249,4.6404 
826,2012,1 ,凌日,,642,3.5439 
827,2012,1 ,凌日,,501,4.4572 
828,2012,1 ,凌日,,344,2.6940 
829,2012,1 ,凌日,,447,4.6419 
830,2012,1 ,凌日,,542,3.3327 
831,2012,1 ,凌日,,303,3.4465 
832,2012,1 ,凌日,,262,1.2175 
833,2012,1 ,凌日,,124.22,4.1138 
834,2012,1 ,凌日,,600,105.5990 
835,2012,1 ,凌日,,1000,138.3170 
836,2012,1 ,凌日,,160,4.9817 
837,2012,1 ,凌日,,200,4.1591 
838,2012,1 ,凌日,,170,2.7817 
839,2012,1 ,凌日,,140,1.7498 
840,2012,1 ,凌日,,200,3.6936 
841,2012,1 ,凌日,,330,4.4656 
842,2012,1 ,凌日,,255,4.6171 
843,2012,1 ,凌日,,455,2.8390 
844,2012,1 ,凌日,,300,5.0172 
845,2012,1 ,凌日,,125,7.9196 
846,2012,1 ,凌日,,400,4.3050 
847,2012,1 ,凌日,,480,3.8559 
848,2012,1 ,凌日,,160,4.4120 
849,2012,1 ,凌日,,330,4.3781 
850,2012,1 ,凌日,,350,1.5733 
851,2012,1 ,凌日,,380,4.0861 
852,2012,1 ,凌日,,225,4.6144 
853,2012,1 ,凌日,,345,2.9037 
854,2012,1 ,凌日,,340,2.2167 
855,2012,1 ,凌日,,93,1.3600 
856,2012,1 ,凌日,,550,2.1752 
857,2012,1 ,凌日,,240,3.6624 
858,2012,1 ,凌日,,60,3.0679 
859,2012,1 ,凌日,,3200,3.3521 
860,2012,1 ,日食时间变化,4.2,,4343.5000 
861,2012,1 ,微引力透镜,,2300,
862,2012,1 ,微引力透镜,,2800,
863,2012,1 ,微引力透镜,,7720,
864,2012,1 ,微引力透镜,,2570,
865,2013,7 ,凌日,,780,7.0082 
866,2013,7 ,凌日,,780,8.7194 
867,2013,7 ,凌日,,780,59.7367 
868,2013,7 ,凌日,,780,91.9391 
869,2013,7 ,凌日,,780,124.9144 
870,2013,7 ,凌日,,780,210.6070 
871,2013,7 ,凌日,,780,331.6006 
872,2013,6 ,径向速度,0.016,6.8,91.6100 
873,2013,6 ,径向速度,0.008,6.8,62.2400 
874,2013,6 ,径向速度,0.008,6.8,39.0260 
875,2013,6 ,径向速度,0.014,6.8,256.2000 
876,2013,5 ,凌日,,368,5.7149 
877,2013,5 ,凌日,,368,12.4417 
878,2013,5 ,凌日,,368,18.1641 
879,2013,5 ,凌日,,368,122.3874 
880,2013,5 ,凌日,,368,267.2910 
881,2013,5 ,凌日,,,16.1457 
882,2013,4 ,凌日,,,3.7432 
883,2013,4 ,凌日,,,10.4236 
884,2013,4 ,凌日,,,22.3430 
885,2013,4 ,凌日,,,54.3203 
886,2013,3 ,径向速度,0.035,14.97,8.6310 
887,2013,3 ,径向速度,0.024,14.97,25.6000 
888,2013,3 ,径向速度,0.079,14.97,603.0000 
889,2013,3 ,凌日,,66,13.3673 
890,2013,3 ,凌日,,66,21.3019 
891,2013,3 ,凌日,,66,39.7922 
892,2013,3 ,凌日,,,27.5087 
893,2013,2 ,径向速度,0.027,20.1,3.8728 
894,2013,2 ,径向速度,0.17,20.1,125.9400 
895,2013,2 ,径向速度,0.865,66.89,19.3820 
896,2013,2 ,径向速度,5.13,66.89,931.0000 
897,2013,2 ,径向速度,0.039,52.03,18.3570 
898,2013,2 ,径向速度,0.027,52.03,25.6480 
899,2013,2 ,径向速度,0.054,56.92,7.8543 
900,2013,2 ,径向速度,0.076,56.92,30.9300 
901,2013,2 ,径向速度,1.13,68.59,12.6200 
902,2013,2 ,径向速度,1.9,68.59,248.4000 
903,2013,2 ,凌日,,,13.7223 
904,2013,2 ,凌日,,,242.4613 
905,2013,2 ,凌日,,,114.7364 
906,2013,2 ,凌日,,,191.2318 
907,2013,2 ,凌日,,339,10.9542 
908,2013,2 ,凌日,,,13.7490 
909,2013,2 ,凌日,,,26.7230 
910,2013,2 ,凌日,,,5.4122 
911,2013,2 ,凌日,,,8.0410 
912,2013,2 ,凌日,,,11.7760 
913,2013,2 ,凌日,,,15.0900 
914,2013,2 ,凌日,,,22.8040 
915,2013,2 ,凌日,,,22.9510 
916,2013,2 ,凌日,,,42.8820 
917,2013,2 ,凌日,,,36.8550 
918,2013,2 ,凌日,,,49.4120 
919,2013,2 ,凌日,,,23.6540 
920,2013,2 ,凌日,,,50.4470 
921,2013,2 ,凌日,,,31.8840 
922,2013,2 ,凌日,,,48.6480 
923,2013,2 ,凌日,,,17.3240 
924,2013,2 ,凌日,,,33.0060 
925,2013,2 ,凌日,,,35.7360 
926,2013,2 ,凌日,,,54.4140 
927,2013,2 ,凌日,,,24.8060 
928,2013,2 ,凌日,,,44.3470 
929,2013,2 ,凌日,,,5.4870 
930,2013,2 ,凌日,,,8.2910 
931,2013,2 ,凌日,,,10.4160 
932,2013,2 ,凌日,,,13.0840 
933,2013,2 ,凌日,,,34.9210 
934,2013,2 ,凌日,,,71.3120 
935,2013,2 ,凌日,,,17.8490 
936,2013,2 ,凌日,,,26.1360 
937,2013,2 ,凌日,,,42.9940 
938,2013,2 ,凌日,,,88.5050 
939,2013,2 ,凌日时间变化,,339,22.3395 
940,2013,1 ,成像,,145,
941,2013,1 ,成像,,36,
942,2013,1 ,成像,,17.95,
943,2013,1 ,成像,,91.57,
944,2013,1 ,成像,,91.83,
945,2013,1 ,成像,,135,
946,2013,1 ,成像,,120,
947,2013,1 ,轨道亮度调制,,,1.5449 
948,2013,1 ,径向速度,3.2,45.52,181.4000 
949,2013,1 ,径向速度,1.7,80.64,277.0200 
950,2013,1 ,径向速度,20.6,92.51,305.5000 
951,2013,1 ,径向速度,1.11,175.44,137.4800 
952,2013,1 ,径向速度,2.3,20.03,4100.0000 
953,2013,1 ,径向速度,1.6,115.21,311.6000 
954,2013,1 ,径向速度,0.367,53.08,5.8881 
955,2013,1 ,径向速度,2.83,37.42,324.0000 
956,2013,1 ,径向速度,4.5,97.66,2082.0000 
957,2013,1 ,径向速度,6.575,,192.0000 
958,2013,1 ,径向速度,9.18,149.25,124.6000 
959,2013,1 ,径向速度,1.068,44.46,5.0505 
960,2013,1 ,凌日,,360,1.3541 
961,2013,1 ,凌日,,453,3.5479 
962,2013,1 ,凌日,1.47,178,2.7034 
963,2013,1 ,凌日,,,59.8776 
964,2013,1 ,凌日,,200,9.4342 
965,2013,1 ,凌日,,1107,17.8158 
966,2013,1 ,凌日,,1107,15.7259 
967,2013,1 ,凌日,,1330,7.3407 
968,2013,1 ,凌日,,1140,8.8849 
969,2013,1 ,凌日,,570,3.5788 
970,2013,1 ,凌日,,,0.3550 
971,2013,1 ,凌日,,,282.5255 
972,2013,1 ,凌日,,1030,6.2466 
973,2013,1 ,凌日,,132,17.8336 
974,2013,1 ,凌日,,,3.0052 
975,2013,1 ,凌日,,1200,3.1606 
976,2013,1 ,凌日,,310,2.3114 
977,2013,1 ,凌日,,260,2.4842 
978,2013,1 ,天体测量学,,20.77,246.3600 
979,2013,1 ,微引力透镜,,3600,
980,2013,1 ,微引力透镜,,7560,
981,2013,1 ,微引力透镜,,1760,
982,2013,1 ,微引力透镜,,4970,
983,2014,5 ,凌日,,,5.2870 
984,2014,5 ,凌日,,,7.0714 
985,2014,5 ,凌日,,,10.3117 
986,2014,5 ,凌日,,,27.4536 
987,2014,4 ,径向速度,,,982.0000 
988,2014,4 ,凌日,,,42.8961 
989,2014,4 ,凌日,,,6.1649 
990,2014,4 ,凌日,,,13.5708 
991,2014,4 ,凌日,,,23.9802 
992,2014,4 ,凌日,,,43.8445 
993,2014,3 ,径向速度,,,123.0000 
994,2014,3 ,凌日,,,6.8871 
995,2014,3 ,凌日,,,12.8159 
996,2014,3 ,凌日,,,35.3331 
997,2014,3 ,凌日时间变化,,,
998,2014,2 ,径向速度,2.58,68.54,3452.0000 
999,2014,2 ,径向速度,,,1460.0000 
1000,2014,2 ,径向速度,,,820.3000 
1001,2014,2 ,径向速度,,,789.0000 
1002,2014,2 ,径向速度,,,3000.0000 
1003,2014,2 ,凌日,,,4.7267 
1004,2014,2 ,凌日,,,2.5081 
1005,2014,2 ,凌日,,,2.5866 
1006,2014,2 ,凌日,,,15.9654 
1007,2014,2 ,凌日,,,179.6120 
1008,2014,2 ,凌日,,,6.4816 
1009,2014,2 ,凌日,,,21.2227 
1010,2014,2 ,凌日,,,4.7540 
1011,2014,2 ,凌日,,,8.9251 
1012,2014,2 ,凌日,,,16.0920 
1013,2014,2 ,凌日,,,25.5169 
1014,2014,2 ,凌日,,,13.7816 
1015,2014,2 ,凌日,,,23.0893 
1016,2014,2 ,凌日,,,2.4263 
1017,2014,2 ,凌日,,,4.6233 
1018,2014,2 ,凌日,,,0.6693 
1019,2014,1 ,径向速度,0.48,20.48,3827.0000 
1020,2014,1 ,径向速度,0.34,,6.9580 
1021,2014,1 ,径向速度,0.4,,5.1180 
1022,2014,1 ,径向速度,1.54,,121.7100 
1023,2014,1 ,凌日,,,3.5753 
1024,2014,1 ,凌日,,322,2.6915 
1025,2014,1 ,凌日,,222,7.8457 
1026,2014,1 ,凌日,,,11.5231 
1027,2014,1 ,凌日,,,16.2385 
1028,2014,1 ,凌日,,,1.5417 
1029,2014,1 ,凌日,,,4.6036 
1030,2014,1 ,凌日,,,2.4650 
1031,2014,1 ,凌日,,,68.9584 
1032,2014,1 ,凌日,,1056,1.7209 
1033,2014,1 ,凌日,,,66.2620 
1034,2014,1 ,凌日,,470,0.9255 
